Country,Year,General government revenue | Percent of GDP,General government total expenditure | National currency | Billions,Gross national savings | Percent of GDP,Total investment | Percent of GDP,Unemployment rate | Percent of total labor force,"Gross domestic product per capita, current prices | U.S. dollars | Units"
Albania,2000,26.066,169.596,23.768,30.796,16.8,1127.64
Albania,2001,25.848,184.163,28.703,34.989,16.44,1283.57
Albania,2002,25.323,192.517,25.056,35.264,15.751,1425.13
Albania,2003,24.674,201.152,26.156,33.897,15.0,1846.12
Albania,2004,24.992,222.439,28.359,34.197,14.4,2373.58
Albania,2005,25.434,232.339,27.784,36.87,14.1,2673.77
Albania,2006,25.928,254.762,29.59,35.698,13.8,2972.75
Albania,2007,26.13,282.987,23.837,34.462,13.4,3595.05
Albania,2008,26.842,342.86,17.569,33.374,13.1,4370.56
Albania,2009,26.093,373.832,16.654,32.641,13.8,4114.09
Albania,2010,25.867,364.29,20.023,31.318,14.0,4097.83
Albania,2011,25.407,376.183,20.254,33.462,14.0,4439.89
Albania,2012,24.789,376.241,19.674,29.824,13.4,4248.91
Albania,2013,23.978,394.117,16.827,27.491,15.9,4415.6
Albania,2014,26.272,442.718,13.361,27.288,17.5,4584.92
Albania,2015,26.44,441.161,15.804,26.237,17.1,3953.61
Albania,2016,28.419,429.073,16.796,25.47,15.2,4124.41
Albania,2017,27.756,451.989,17.085,24.671,13.7,4525.89
Albania,2018,27.474,471.407,17.129,24.34,12.3,5254.46
Albania,2019,27.414,493.241,14.879,22.79,11.47,5305.07
Belgium,2000,49.319,126.646,26.203,23.783,6.858,23136.51
Belgium,2001,49.612,130.527,24.126,22.634,6.567,23067.16
Belgium,2002,49.86,136.364,25.249,20.748,7.525,25044.33
Belgium,2003,49.183,143.545,24.362,20.964,8.175,30707.67
Belgium,2004,49.08,146.388,25.765,22.667,8.383,35497.55
Belgium,2005,49.147,160.792,25.676,23.681,8.475,36945.5
Belgium,2006,49.029,158.639,25.821,23.97,8.267,38841.79
Belgium,2007,48.629,166.871,26.099,24.603,7.492,44496.79
Belgium,2008,49.68,178.599,24.931,25.937,6.967,48493.14
Belgium,2009,49.25,189.454,23.831,22.173,7.908,44892.23
Belgium,2010,49.791,195.654,24.751,23.127,8.317,44448.17
Belgium,2011,50.974,207.927,22.568,24.507,7.15,47564.38
Belgium,2012,52.159,218.102,23.609,23.69,7.558,44824.16
Belgium,2013,52.987,220.47,23.383,22.428,8.45,46848.61
Belgium,2014,52.544,224.069,23.908,23.136,8.542,47897.04
Belgium,2015,51.306,223.851,25.011,23.628,8.508,41147.26
Belgium,2016,50.755,228.451,24.804,24.252,7.842,42076.4
Belgium,2017,51.348,231.567,25.15,24.451,7.108,44274.07
Belgium,2018,51.379,240.319,24.691,25.486,5.983,47718.41
Belgium,2019,50.179,248.101,25.328,24.979,5.375,46555.09
Bulgaria,2000,36.525,10.443,15.942,19.046,18.134,1625.32
Bulgaria,2001,35.897,11.303,17.727,21.351,17.514,1797.39
Bulgaria,2002,34.46,11.949,19.906,20.529,17.416,2090.68
Bulgaria,2003,35.767,13.103,18.699,22.074,13.857,2710.58
Bulgaria,2004,36.204,14.26,19.162,23.433,12.192,3370.38
Bulgaria,2005,36.22,16.002,18.329,27.74,10.177,3869.59
Bulgaria,2006,35.722,17.423,16.793,32.056,9.022,4477.03
Bulgaria,2007,36.223,21.026,9.755,33.627,6.935,5811.85
Bulgaria,2008,36.212,24.369,14.98,36.953,5.664,7156.18
Bulgaria,2009,32.916,24.714,20.241,28.538,6.878,6878.06
Bulgaria,2010,30.972,25.877,20.925,22.655,10.306,6713.33
Bulgaria,2011,30.274,25.923,21.797,21.467,11.35,7832.19
Bulgaria,2012,32.242,26.874,21.144,21.995,12.379,7417.27
Bulgaria,2013,33.841,29.175,22.361,21.083,13.038,7675.91
Bulgaria,2014,33.533,31.202,22.812,21.575,11.524,7900.7
Bulgaria,2015,34.636,33.437,21.049,21.049,9.233,7079.78
Bulgaria,2016,34.343,31.203,22.074,19.006,7.666,7575.77
Bulgaria,2017,32.96,32.888,23.2,19.882,6.23,8381.99
Bulgaria,2018,34.504,37.73,22.204,21.257,5.273,9470.58
Bulgaria,2019,35.077,43.165,22.938,21.107,4.275,9863.02
Canada,2000,43.197,448.596,23.161,20.614,6.833,24296.72
Canada,2001,41.632,470.432,21.885,19.671,7.225,23859.71
Canada,2002,40.16,482.179,21.471,19.739,7.667,24279.19
Canada,2003,40.149,505.358,21.699,20.467,7.583,28338.75
Canada,2004,39.902,522.734,23.729,21.383,7.15,32176.59
Canada,2005,40.074,547.605,24.561,22.632,6.767,36439.62
Canada,2006,40.488,578.599,25.038,23.595,6.325,40558.9
Canada,2007,40.339,607.7,24.732,23.908,6.075,44716.99
Canada,2008,38.96,642.524,24.221,24.072,6.2,46773.84
Canada,2009,39.539,682.285,19.05,21.959,8.375,40990.63
Canada,2010,38.326,717.466,19.918,23.482,8.075,47627.35
Canada,2011,38.267,737.571,21.438,24.151,7.55,52285.94
Canada,2012,38.402,747.804,21.337,24.868,7.375,52744.0
Canada,2013,38.466,760.152,21.766,24.908,7.133,52708.61
Canada,2014,38.545,765.452,22.551,24.871,6.967,51020.84
Canada,2015,39.957,796.543,20.326,23.822,6.942,43626.47
Canada,2016,40.3,825.471,19.673,22.761,7.05,42382.64
Canada,2017,40.343,866.005,20.748,23.55,6.383,45191.96
Canada,2018,41.142,911.795,20.86,23.2,5.908,46532.17
Canada,2019,41.495,946.369,20.938,22.988,5.733,46399.71
Croatia,2000,42.032,85.124,18.771,20.211,20.592,4938.11
Croatia,2001,40.451,88.859,19.259,21.438,21.508,5355.37
Croatia,2002,47.437,107.071,18.379,24.723,21.783,6228.62
Croatia,2003,45.531,116.393,19.067,28.129,19.067,8054.46
Croatia,2004,43.875,122.571,20.909,26.9,17.783,9368.62
Croatia,2005,43.267,126.701,19.752,26.996,17.583,10215.39
Croatia,2006,43.381,136.918,21.398,29.189,16.525,11356.45
Croatia,2007,43.412,147.098,21.24,29.062,14.733,13542.21
Croatia,2008,43.038,158.967,20.216,30.734,13.033,15839.94
Croatia,2009,42.828,161.669,18.59,25.155,14.517,14134.16
Croatia,2010,42.001,159.628,18.957,21.11,17.167,13562.42
Croatia,2011,40.934,163.167,18.241,19.94,17.367,14608.2
Croatia,2012,42.902,159.706,17.019,18.809,18.6,13257.02
